"","day","ReportingCountry","cases","date"
"254",639,"IE",1,2024-01-29
"255",744,"IE",1,2024-05-13
"256",773,"IE",1,2024-06-11
"257",787,"IE",1,2024-06-25
"258",857,"IE",2,2024-09-03
"259",892,"IE",2,2024-10-08
"260",913,"IE",2,2024-10-29
"261",920,"IE",3,2024-11-05
"262",927,"IE",1,2024-11-12
"263",934,"IE",1,2024-11-19
"264",941,"IE",1,2024-11-26
"265",963,"IE",1,2024-12-18
"266",977,"IE",1,2025-01-01
"267",991,"IE",2,2025-01-15
"268",1005,"IE",3,2025-01-29
"269",1012,"IE",2,2025-02-05
"270",1019,"IE",1,2025-02-12
"271",1033,"IE",1,2025-02-26
"272",1040,"IE",2,2025-03-05
"273",1047,"IE",1,2025-03-12
"274",1054,"IE",1,2025-03-19
"275",1061,"IE",2,2025-03-26
"276",1068,"IE",3,2025-04-02
"277",1075,"IE",1,2025-04-09
"278",1082,"IE",3,2025-04-16
"279",1089,"IE",1,2025-04-23
"280",0,"NL",3,2022-04-30
"281",7,"NL",1,2022-05-07
"282",14,"NL",4,2022-05-14
"283",21,"NL",26,2022-05-21
"284",28,"NL",29,2022-05-28
"285",35,"NL",40,2022-06-04
"286",42,"NL",72,2022-06-11
"287",49,"NL",87,2022-06-18
"288",56,"NL",132,2022-06-25
"289",63,"NL",142,2022-07-02
"290",70,"NL",166,2022-07-09
"291",77,"NL",144,2022-07-16
"292",84,"NL",95,2022-07-23
"293",91,"NL",68,2022-07-30
"294",98,"NL",55,2022-08-06
"295",105,"NL",52,2022-08-13
"296",112,"NL",32,2022-08-20
"297",119,"NL",28,2022-08-27
"298",126,"NL",14,2022-09-03
"299",133,"NL",10,2022-09-10
"300",140,"NL",4,2022-09-17
"301",147,"NL",3,2022-09-24
"302",154,"NL",1,2022-10-01
"303",161,"NL",4,2022-10-08
"304",168,"NL",4,2022-10-15
"305",175,"NL",6,2022-10-22
"306",182,"NL",1,2022-10-29
"307",190,"NL",1,2022-11-06
"308",204,"NL",2,2022-11-20
"309",211,"NL",1,2022-11-27
"310",218,"NL",1,2022-12-04
"311",225,"NL",1,2022-12-11
"312",232,"NL",1,2022-12-18
"313",253,"NL",1,2023-01-08
"314",274,"NL",1,2023-01-29
"315",288,"NL",1,2023-02-12
"316",344,"NL",2,2023-04-09
"317",393,"NL",1,2023-05-28
"318",470,"NL",2,2023-08-13
"319",477,"NL",1,2023-08-20
"320",484,"NL",1,2023-08-27
"321",491,"NL",3,2023-09-03
"322",498,"NL",1,2023-09-10
"323",512,"NL",2,2023-09-24
"324",519,"NL",3,2023-10-01
"325",540,"NL",1,2023-10-22
"326",555,"NL",3,2023-11-06
"327",562,"NL",2,2023-11-13
"328",576,"NL",2,2023-11-27
"329",590,"NL",3,2023-12-11
"330",597,"NL",1,2023-12-18
"331",604,"NL",2,2023-12-25
"332",611,"NL",1,2024-01-01
"333",618,"NL",1,2024-01-08
"334",625,"NL",1,2024-01-15
"335",632,"NL",3,2024-01-22
"336",674,"NL",1,2024-03-04
"337",688,"NL",1,2024-03-18
"338",737,"NL",2,2024-05-06
"339",744,"NL",1,2024-05-13
"340",773,"NL",1,2024-06-11
"341",780,"NL",1,2024-06-18
"342",794,"NL",1,2024-07-02
"343",801,"NL",1,2024-07-09
"344",815,"NL",3,2024-07-23
"345",829,"NL",2,2024-08-06
"346",836,"NL",7,2024-08-13
"347",843,"NL",5,2024-08-20
"348",850,"NL",4,2024-08-27
"349",857,"NL",7,2024-09-03
"350",864,"NL",6,2024-09-10
"351",871,"NL",4,2024-09-17
"352",878,"NL",2,2024-09-24
"353",885,"NL",7,2024-10-01
"354",892,"NL",11,2024-10-08
"355",899,"NL",9,2024-10-15
"356",906,"NL",2,2024-10-22
"357",913,"NL",8,2024-10-29
"358",920,"NL",3,2024-11-05
"359",927,"NL",7,2024-11-12
"360",934,"NL",11,2024-11-19
"361",941,"NL",10,2024-11-26
"362",949,"NL",2,2024-12-04
"363",956,"NL",2,2024-12-11
"364",963,"NL",4,2024-12-18
"365",970,"NL",1,2024-12-25
"366",977,"NL",1,2025-01-01
"367",984,"NL",1,2025-01-08
"368",991,"NL",2,2025-01-15
"369",998,"NL",4,2025-01-22
"370",1005,"NL",4,2025-01-29
"371",1012,"NL",4,2025-02-05
"372",1019,"NL",2,2025-02-12
"373",1033,"NL",2,2025-02-26
"374",1040,"NL",4,2025-03-05
"375",1047,"NL",1,2025-03-12
"376",1054,"NL",1,2025-03-19
"377",1061,"NL",1,2025-03-26
"378",1068,"NL",5,2025-04-02
"379",1075,"NL",8,2025-04-09
"380",1082,"NL",7,2025-04-16
"381",1089,"NL",2,2025-04-23
"382",1096,"NL",6,2025-04-30
